Equipment_ID,Date,Planned_Production_Time_min,Run_Time_min,Ideal_Cycle_Time_min,Total_Count,Good_Count
EQ-1000,2025-02-19,480,432,1.15,362,358
EQ-1000,2025-02-20,480,479,1.5,362,361
EQ-1000,2025-02-21,480,449,1.09,336,332
EQ-1000,2025-02-22,480,479,1.44,396,383
EQ-1000,2025-02-23,480,470,1.17,317,311
EQ-1000,2025-02-24,480,443,1.06,394,380
EQ-1000,2025-02-25,480,475,1.06,365,364
EQ-1000,2025-02-26,480,472,1.08,393,393
EQ-1000,2025-02-27,480,478,1.02,319,307
EQ-1000,2025-02-28,480,478,1.21,396,387
EQ-1000,2025-03-01,480,429,1.37,397,391
EQ-1000,2025-03-02,480,463,1.46,377,371
EQ-1000,2025-03-03,480,424,1.39,260,249
EQ-1000,2025-03-04,480,474,0.88,291,289
EQ-1000,2025-03-05,480,429,1.26,339,331
EQ-1000,2025-03-06,480,433,1.17,251,251
EQ-1000,2025-03-07,480,426,1.48,286,276
EQ-1000,2025-03-08,480,433,1.04,348,346
EQ-1000,2025-03-09,480,427,1.39,397,390
EQ-1000,2025-03-10,480,432,1.35,365,355
EQ-1000,2025-03-11,480,446,0.91,353,350
EQ-1000,2025-03-12,480,452,1.06,348,340
EQ-1000,2025-03-13,480,479,1.0,359,358
EQ-1000,2025-03-14,480,467,1.28,317,317
EQ-1000,2025-03-15,480,473,1.03,397,390
EQ-1000,2025-03-16,480,433,1.39,394,394
EQ-1000,2025-03-17,480,426,0.87,364,359
EQ-1000,2025-03-18,480,436,0.98,287,282
EQ-1000,2025-03-19,480,454,1.14,257,247
EQ-1000,2025-03-20,480,453,1.36,279,279
EQ-1000,2025-03-21,480,477,1.27,310,308
EQ-1000,2025-03-22,480,437,0.82,298,298
EQ-1000,2025-03-23,480,475,1.46,295,291
EQ-1000,2025-03-24,480,452,1.06,286,279
EQ-1000,2025-03-25,480,421,1.1,344,342
EQ-1000,2025-03-26,480,456,1.4,316,315
EQ-1000,2025-03-27,480,478,1.08,303,294
EQ-1000,2025-03-28,480,449,1.2,273,272
EQ-1000,2025-03-29,480,439,1.27,376,366
EQ-1000,2025-03-30,480,448,1.41,266,259
EQ-1000,2025-03-31,480,439,0.9,288,276
EQ-1000,2025-04-01,480,456,1.37,348,347
EQ-1000,2025-04-02,480,474,1.23,309,300
EQ-1000,2025-04-03,480,473,1.15,269,269
EQ-1000,2025-04-04,480,469,1.29,393,380
EQ-1000,2025-04-05,480,447,1.42,392,381
EQ-1000,2025-04-06,480,456,0.87,335,333
EQ-1000,2025-04-07,480,423,0.91,374,369
EQ-1000,2025-04-08,480,439,1.4,298,295
EQ-1000,2025-04-09,480,421,1.38,303,293
EQ-1000,2025-04-10,480,421,1.03,257,253
EQ-1000,2025-04-11,480,477,0.95,254,248
EQ-1000,2025-04-12,480,434,1.39,365,352
EQ-1000,2025-04-13,480,431,1.29,301,289
EQ-1000,2025-04-14,480,425,1.16,396,396
EQ-1000,2025-04-15,480,426,0.99,341,332
EQ-1000,2025-04-16,480,458,0.98,366,353
EQ-1000,2025-04-17,480,480,1.1,389,385
EQ-1000,2025-04-18,480,447,0.92,250,236
EQ-1000,2025-04-19,480,441,0.97,367,359
EQ-1000,2025-04-20,480,442,1.45,378,366
EQ-1000,2025-04-21,480,452,1.26,318,313
EQ-1000,2025-04-22,480,465,1.09,325,316
EQ-1000,2025-04-23,480,452,0.91,335,327
EQ-1000,2025-04-24,480,432,0.88,318,304
EQ-1000,2025-04-25,480,455,1.02,393,384
EQ-1000,2025-04-26,480,448,1.14,288,285
EQ-1000,2025-04-27,480,423,1.13,350,344
EQ-1000,2025-04-28,480,447,1.23,318,315
EQ-1000,2025-04-29,480,462,0.98,387,378
EQ-1000,2025-04-30,480,476,1.15,250,243
EQ-1000,2025-05-01,480,465,1.28,265,258
EQ-1000,2025-05-02,480,461,1.25,377,367
EQ-1000,2025-05-03,480,448,1.2,373,373
EQ-1000,2025-05-04,480,478,1.37,350,339
EQ-1000,2025-05-05,480,437,1.37,323,313
EQ-1000,2025-05-06,480,435,0.99,261,247
EQ-1000,2025-05-07,480,464,0.81,284,278
EQ-1000,2025-05-08,480,471,1.26,342,333
EQ-1000,2025-05-09,480,474,0.82,364,356
EQ-1000,2025-05-10,480,470,0.88,363,351
EQ-1000,2025-05-11,480,424,1.41,270,258
EQ-1000,2025-05-12,480,457,1.18,350,342
EQ-1000,2025-05-13,480,463,1.36,348,345
EQ-1000,2025-05-14,480,458,0.98,345,338
EQ-1000,2025-05-15,480,432,1.45,286,275
EQ-1000,2025-05-16,480,446,1.28,272,264
EQ-1000,2025-05-17,480,461,0.87,266,266
EQ-1000,2025-05-18,480,422,1.38,335,323
EQ-1000,2025-05-19,480,440,0.87,349,338
EQ-1000,2025-05-20,480,453,1.39,258,252
EQ-1000,2025-05-21,480,462,1.47,377,374
EQ-1000,2025-05-22,480,476,1.15,393,389
EQ-1000,2025-05-23,480,422,1.01,274,271
EQ-1000,2025-05-24,480,465,0.95,302,296
EQ-1000,2025-05-25,480,439,1.35,358,354
EQ-1000,2025-05-26,480,423,1.48,391,377
EQ-1000,2025-05-27,480,434,1.11,324,323
EQ-1000,2025-05-28,480,437,0.9,323,314
EQ-1000,2025-05-29,480,468,1.41,256,243
EQ-1000,2025-05-30,480,454,0.96,386,385
EQ-1000,2025-05-31,480,444,1.29,254,242
EQ-1000,2025-06-01,480,480,0.96,385,373
EQ-1000,2025-06-02,480,474,1.42,394,380
EQ-1000,2025-06-03,480,475,1.49,381,378
EQ-1000,2025-06-04,480,437,1.3,268,256
EQ-1000,2025-06-05,480,455,1.19,340,331
EQ-1000,2025-06-06,480,436,1.03,375,373
EQ-1000,2025-06-07,480,461,0.81,375,366
EQ-1000,2025-06-08,480,440,0.88,310,296
EQ-1000,2025-06-09,480,453,1.32,380,368
EQ-1000,2025-06-10,480,425,1.47,362,354
EQ-1000,2025-06-11,480,423,1.17,366,361
EQ-1000,2025-06-12,480,460,0.81,310,296
EQ-1000,2025-06-13,480,424,0.83,396,393
EQ-1000,2025-06-14,480,466,1.17,298,285
EQ-1000,2025-06-15,480,427,1.12,366,361
EQ-1000,2025-06-16,480,449,1.07,261,252
EQ-1000,2025-06-17,480,457,0.84,351,340
EQ-1000,2025-06-18,480,453,1.23,257,248
EQ-1000,2025-06-19,480,421,1.25,385,376
EQ-1000,2025-06-20,480,445,1.21,350,342
EQ-1000,2025-06-21,480,448,1.49,394,386
EQ-1000,2025-06-22,480,446,1.09,390,377
EQ-1000,2025-06-23,480,476,1.38,331,329
EQ-1000,2025-06-24,480,451,1.23,259,252
EQ-1000,2025-06-25,480,426,1.41,358,354
EQ-1000,2025-06-26,480,463,1.09,367,367
EQ-1000,2025-06-27,480,455,1.49,260,256
EQ-1000,2025-06-28,480,454,1.07,335,325
EQ-1000,2025-06-29,480,446,1.2,347,339
EQ-1001,2025-01-01,480,475,0.89,398,392
EQ-1001,2025-01-02,480,443,1.28,344,340
EQ-1001,2025-01-03,480,428,1.44,272,268
EQ-1001,2025-01-04,480,460,1.46,332,332
EQ-1001,2025-01-05,480,430,1.12,359,359
EQ-1001,2025-01-06,480,480,0.99,253,240
EQ-1001,2025-01-07,480,453,1.27,281,280
EQ-1001,2025-01-08,480,423,0.99,288,279
EQ-1001,2025-01-09,480,422,1.16,367,365
EQ-1001,2025-01-10,480,476,1.02,303,292
EQ-1001,2025-01-11,480,433,0.86,306,306
EQ-1001,2025-01-12,480,479,1.14,334,321
EQ-1001,2025-01-13,480,421,1.36,352,347
EQ-1001,2025-01-14,480,463,1.49,299,298
EQ-1001,2025-01-15,480,447,1.07,340,338
EQ-1001,2025-01-16,480,451,1.04,328,317
EQ-1001,2025-01-17,480,476,1.24,300,300
EQ-1001,2025-01-18,480,464,1.36,387,380
EQ-1001,2025-01-19,480,476,1.14,333,326
EQ-1001,2025-01-20,480,468,1.49,302,301
EQ-1001,2025-01-21,480,430,0.95,292,282
EQ-1001,2025-01-22,480,470,1.18,329,315
EQ-1001,2025-01-23,480,441,0.9,257,254
EQ-1001,2025-01-24,480,449,1.29,274,272
EQ-1001,2025-01-25,480,423,1.13,342,341
EQ-1001,2025-01-26,480,463,0.96,270,266
EQ-1001,2025-01-27,480,460,1.0,310,305
EQ-1001,2025-01-28,480,469,1.18,382,374
EQ-1001,2025-01-29,480,467,0.94,283,283
EQ-1001,2025-01-30,480,424,1.03,322,313
EQ-1001,2025-01-31,480,438,1.14,305,292
EQ-1001,2025-02-01,480,455,1.44,310,310
EQ-1001,2025-02-02,480,446,1.41,257,257
EQ-1001,2025-02-03,480,425,0.93,296,282
EQ-1001,2025-02-04,480,467,1.14,277,271
EQ-1001,2025-02-05,480,467,1.12,358,349
EQ-1001,2025-02-06,480,478,0.9,364,358
EQ-1001,2025-02-07,480,421,1.43,356,342
EQ-1001,2025-02-08,480,430,0.88,287,285
EQ-1001,2025-02-09,480,453,0.97,368,364
EQ-1001,2025-02-10,480,459,0.81,266,260
EQ-1001,2025-02-11,480,464,1.03,293,285
EQ-1001,2025-02-12,480,471,1.04,274,271
EQ-1001,2025-02-13,480,434,1.35,358,357
EQ-1001,2025-02-14,480,473,1.21,283,269
EQ-1001,2025-02-15,480,440,1.21,332,323
EQ-1001,2025-02-16,480,422,1.04,275,274
EQ-1001,2025-02-17,480,444,1.05,358,353
EQ-1001,2025-02-18,480,475,1.45,399,395
EQ-1001,2025-02-19,480,451,1.06,361,358
EQ-1001,2025-02-20,480,450,0.93,311,298
EQ-1001,2025-02-21,480,478,0.84,386,380
EQ-1001,2025-02-22,480,445,1.17,289,285
EQ-1001,2025-02-23,480,461,1.5,255,254
EQ-1001,2025-02-24,480,475,1.48,253,239
EQ-1001,2025-02-25,480,443,1.48,343,336
EQ-1001,2025-02-26,480,473,1.27,328,318
EQ-1001,2025-02-27,480,475,1.13,293,289
EQ-1001,2025-02-28,480,461,1.48,317,315
EQ-1001,2025-03-01,480,434,1.16,362,351
EQ-1001,2025-03-02,480,444,1.3,391,386
EQ-1001,2025-03-03,480,438,1.15,349,337
EQ-1001,2025-03-04,480,425,1.22,383,382
EQ-1001,2025-03-05,480,479,0.89,387,376
EQ-1001,2025-03-06,480,480,1.03,379,376
EQ-1001,2025-03-07,480,472,0.9,322,322
EQ-1001,2025-03-08,480,446,1.22,287,281
EQ-1001,2025-03-09,480,421,1.04,298,294
EQ-1001,2025-03-10,480,425,1.48,327,323
EQ-1001,2025-03-11,480,446,1.49,325,323
EQ-1001,2025-03-12,480,421,1.45,313,308
EQ-1001,2025-03-13,480,440,1.39,321,311
EQ-1001,2025-03-14,480,446,1.33,309,296
EQ-1001,2025-03-15,480,422,0.91,254,252
EQ-1001,2025-03-16,480,456,1.24,311,308
EQ-1001,2025-03-17,480,441,1.41,338,337
EQ-1001,2025-03-18,480,449,1.12,353,340
EQ-1001,2025-03-19,480,466,1.12,346,340
EQ-1001,2025-03-20,480,434,1.2,394,394
EQ-1001,2025-03-21,480,441,1.07,302,295
EQ-1001,2025-03-22,480,474,1.24,383,381
EQ-1001,2025-03-23,480,466,1.31,291,288
EQ-1001,2025-03-24,480,451,1.42,282,279
EQ-1001,2025-03-25,480,448,1.43,287,279
EQ-1001,2025-03-26,480,477,1.29,282,269
EQ-1001,2025-03-27,480,422,1.2,259,255
EQ-1001,2025-03-28,480,468,1.33,367,362
EQ-1001,2025-03-29,480,429,0.88,358,351
EQ-1001,2025-03-30,480,452,1.08,385,381
EQ-1001,2025-03-31,480,479,0.96,325,313
EQ-1001,2025-04-01,480,445,0.81,364,362
EQ-1001,2025-04-02,480,476,1.18,292,282
EQ-1001,2025-04-03,480,443,1.38,323,316
EQ-1001,2025-04-04,480,455,0.96,272,258
EQ-1001,2025-04-05,480,468,1.46,389,380
EQ-1001,2025-04-06,480,421,0.9,360,353
EQ-1001,2025-04-07,480,476,1.22,349,346
EQ-1001,2025-04-08,480,439,1.45,321,307
EQ-1001,2025-04-09,480,472,1.34,280,271
EQ-1001,2025-04-10,480,441,1.1,278,265
EQ-1001,2025-04-11,480,480,1.39,260,254
EQ-1001,2025-04-12,480,435,0.88,398,389
EQ-1001,2025-04-13,480,427,0.93,306,306
EQ-1001,2025-04-14,480,434,1.16,392,388
EQ-1001,2025-04-15,480,429,0.84,386,377
EQ-1001,2025-04-16,480,429,1.35,284,270
EQ-1001,2025-04-17,480,479,1.18,324,319
EQ-1001,2025-04-18,480,438,1.13,340,340
EQ-1001,2025-04-19,480,429,0.82,274,268
EQ-1001,2025-04-20,480,432,1.09,337,337
EQ-1001,2025-04-21,480,453,1.35,399,390
EQ-1001,2025-04-22,480,464,0.95,298,292
EQ-1001,2025-04-23,480,459,1.47,397,392
EQ-1001,2025-04-24,480,474,0.86,353,353
EQ-1001,2025-04-25,480,458,1.22,390,377
EQ-1001,2025-04-26,480,452,1.1,311,298
EQ-1001,2025-04-27,480,462,1.24,279,272
EQ-1001,2025-04-28,480,434,0.85,327,325
EQ-1001,2025-04-29,480,451,1.17,362,361
EQ-1001,2025-04-30,480,480,1.19,312,309
EQ-1001,2025-05-01,480,478,1.03,304,298
EQ-1001,2025-05-02,480,421,1.06,359,358
EQ-1001,2025-05-03,480,449,1.36,304,293
EQ-1001,2025-05-04,480,480,1.3,342,335
EQ-1001,2025-05-05,480,458,1.19,316,309
EQ-1001,2025-05-06,480,424,1.27,321,316
EQ-1001,2025-05-07,480,448,1.36,316,314
EQ-1001,2025-05-08,480,446,1.19,257,256
EQ-1001,2025-05-09,480,435,0.97,327,320
EQ-1001,2025-05-10,480,426,1.38,391,377
EQ-1001,2025-05-11,480,474,1.43,256,247
EQ-1001,2025-05-12,480,433,1.32,334,332
EQ-1001,2025-05-13,480,421,0.93,285,273
EQ-1001,2025-05-14,480,476,1.29,378,364
EQ-1001,2025-05-15,480,458,1.04,379,377
EQ-1001,2025-05-16,480,444,0.82,269,265
EQ-1001,2025-05-17,480,428,1.09,386,385
EQ-1001,2025-05-18,480,457,1.01,335,324
EQ-1001,2025-05-19,480,435,0.88,369,359
EQ-1001,2025-05-20,480,464,1.13,363,361
EQ-1001,2025-05-21,480,436,0.99,289,288
EQ-1001,2025-05-22,480,435,1.08,271,261
EQ-1001,2025-05-23,480,447,1.49,278,266
EQ-1001,2025-05-24,480,463,0.99,324,319
EQ-1001,2025-05-25,480,440,1.17,291,288
EQ-1001,2025-05-26,480,456,0.99,266,262
EQ-1001,2025-05-27,480,428,1.15,325,319
EQ-1001,2025-05-28,480,450,0.81,276,268
EQ-1001,2025-05-29,480,436,1.41,347,336
EQ-1001,2025-05-30,480,464,1.27,387,375
EQ-1001,2025-05-31,480,479,1.09,371,358
EQ-1001,2025-06-01,480,430,0.92,356,356
EQ-1001,2025-06-02,480,452,0.86,364,355
EQ-1001,2025-06-03,480,445,1.07,289,279
EQ-1001,2025-06-04,480,446,1.3,288,281
EQ-1001,2025-06-05,480,457,1.46,304,290
EQ-1001,2025-06-06,480,448,1.46,318,311
EQ-1001,2025-06-07,480,446,0.99,397,395
EQ-1001,2025-06-08,480,422,1.39,330,317
EQ-1001,2025-06-09,480,441,1.22,322,314
EQ-1001,2025-06-10,480,441,1.31,310,300
EQ-1001,2025-06-11,480,478,1.1,288,286
EQ-1001,2025-06-12,480,430,0.85,357,346
EQ-1001,2025-06-13,480,462,0.99,347,336
EQ-1001,2025-06-14,480,464,1.02,298,286
EQ-1001,2025-06-15,480,434,1.47,304,304
EQ-1001,2025-06-16,480,462,0.86,329,322
EQ-1001,2025-06-17,480,458,1.31,398,398
EQ-1001,2025-06-18,480,456,1.31,274,273
EQ-1001,2025-06-19,480,440,1.25,308,299
EQ-1001,2025-06-20,480,465,1.46,296,287
EQ-1001,2025-06-21,480,459,1.45,275,271
EQ-1001,2025-06-22,480,428,1.44,263,249
EQ-1001,2025-06-23,480,431,1.31,364,357
EQ-1001,2025-06-24,480,451,1.1,331,317
EQ-1001,2025-06-25,480,439,0.84,395,385
EQ-1001,2025-06-26,480,457,1.25,263,249
EQ-1001,2025-06-27,480,478,0.96,294,293
EQ-1001,2025-06-28,480,466,1.29,357,351
EQ-1001,2025-06-29,480,459,1.36,253,241
EQ-1002,2025-01-01,480,439,1.02,265,253
EQ-1002,2025-01-02,480,439,1.41,304,302
EQ-1002,2025-01-03,480,463,1.49,262,250
EQ-1002,2025-01-04,480,435,1.46,372,366
EQ-1002,2025-01-05,480,437,1.05,311,307
EQ-1002,2025-01-06,480,451,1.24,370,361
EQ-1002,2025-01-07,480,476,1.09,352,349
EQ-1002,2025-01-08,480,467,1.31,252,240
EQ-1002,2025-01-09,480,444,1.01,317,316
EQ-1002,2025-01-10,480,432,0.83,322,308
EQ-1002,2025-01-11,480,423,1.07,389,379
EQ-1002,2025-01-12,480,442,1.36,373,368
EQ-1002,2025-01-13,480,470,1.42,295,288
EQ-1002,2025-01-14,480,422,1.43,301,298
EQ-1002,2025-01-15,480,427,1.08,342,328
EQ-1002,2025-01-16,480,438,1.23,359,350
EQ-1002,2025-01-17,480,475,0.92,252,245
EQ-1002,2025-01-18,480,458,1.36,303,289
EQ-1002,2025-01-19,480,423,1.42,348,345
EQ-1002,2025-01-20,480,446,1.17,372,363
EQ-1002,2025-01-21,480,457,1.33,311,311
EQ-1002,2025-01-22,480,434,1.43,262,255
EQ-1002,2025-01-23,480,444,0.82,317,304
EQ-1002,2025-01-24,480,478,0.86,354,347
EQ-1002,2025-01-25,480,478,0.99,278,270
EQ-1002,2025-01-26,480,472,1.47,325,316
EQ-1002,2025-01-27,480,470,1.03,274,270
EQ-1002,2025-01-28,480,443,0.86,373,359
EQ-1002,2025-01-29,480,463,0.98,382,373
EQ-1002,2025-01-30,480,453,0.86,309,297
EQ-1002,2025-01-31,480,441,0.85,330,329
EQ-1002,2025-02-01,480,430,1.42,311,299
EQ-1002,2025-02-02,480,447,1.38,305,298
EQ-1002,2025-02-03,480,457,1.18,282,277
EQ-1002,2025-02-04,480,422,1.36,341,341
EQ-1002,2025-02-05,480,436,1.41,262,252
EQ-1002,2025-02-06,480,454,1.29,349,335
EQ-1002,2025-02-07,480,438,1.33,256,252
EQ-1002,2025-02-08,480,439,1.47,280,274
EQ-1002,2025-02-09,480,451,0.89,356,352
EQ-1002,2025-02-10,480,479,1.44,331,328
EQ-1002,2025-02-11,480,479,1.38,261,255
EQ-1002,2025-02-12,480,432,1.0,295,285
EQ-1002,2025-02-13,480,447,1.19,353,339
EQ-1002,2025-02-14,480,446,1.24,337,325
EQ-1002,2025-02-15,480,449,0.89,323,315
EQ-1002,2025-02-16,480,451,1.39,309,295
EQ-1002,2025-02-17,480,461,1.33,271,268
EQ-1002,2025-02-18,480,464,1.28,317,307
EQ-1002,2025-02-19,480,427,1.34,394,385
EQ-1002,2025-02-20,480,463,1.04,369,359
EQ-1002,2025-02-21,480,445,1.41,278,267
EQ-1002,2025-02-22,480,474,1.25,374,363
EQ-1002,2025-02-23,480,434,0.85,282,277
EQ-1002,2025-02-24,480,455,1.14,307,301
EQ-1002,2025-02-25,480,464,0.91,278,275
EQ-1002,2025-02-26,480,426,0.87,288,274
EQ-1002,2025-02-27,480,449,1.38,324,321
EQ-1002,2025-02-28,480,470,0.86,333,328
EQ-1002,2025-03-01,480,437,0.99,330,317
EQ-1002,2025-03-02,480,465,0.82,270,256
EQ-1002,2025-03-03,480,462,1.4,333,328
EQ-1002,2025-03-04,480,480,0.99,380,370
EQ-1002,2025-03-05,480,446,1.02,264,263
EQ-1002,2025-03-06,480,469,0.82,274,267
EQ-1002,2025-03-07,480,421,1.19,276,269
EQ-1002,2025-03-08,480,428,0.93,394,382
EQ-1002,2025-03-09,480,431,0.91,276,263
EQ-1002,2025-03-10,480,437,1.33,380,368
EQ-1002,2025-03-11,480,478,0.82,309,300
EQ-1002,2025-03-12,480,451,0.93,264,256
EQ-1002,2025-03-13,480,437,0.88,266,253
EQ-1002,2025-03-14,480,433,0.97,258,253
EQ-1002,2025-03-15,480,427,1.14,312,307
EQ-1002,2025-03-16,480,473,1.03,379,372
EQ-1002,2025-03-17,480,463,1.02,321,317
EQ-1002,2025-03-18,480,434,1.28,331,318
EQ-1002,2025-03-19,480,436,1.22,281,271
EQ-1002,2025-03-20,480,473,1.33,351,343
EQ-1002,2025-03-21,480,464,1.31,337,329
EQ-1002,2025-03-22,480,465,0.87,295,281
EQ-1002,2025-03-23,480,448,1.14,341,338
EQ-1002,2025-03-24,480,448,1.19,346,345
EQ-1002,2025-03-25,480,455,0.86,326,323
EQ-1002,2025-03-26,480,435,1.08,352,343
EQ-1002,2025-03-27,480,439,1.29,392,391
EQ-1002,2025-03-28,480,470,0.92,298,291
EQ-1002,2025-03-29,480,472,0.89,372,367
EQ-1002,2025-03-30,480,449,1.46,352,338
EQ-1002,2025-03-31,480,431,1.01,257,250
EQ-1002,2025-04-01,480,434,1.24,333,320
EQ-1002,2025-04-02,480,461,1.37,256,246
EQ-1002,2025-04-03,480,459,1.19,383,374
EQ-1002,2025-04-04,480,440,1.12,252,238
EQ-1002,2025-04-05,480,463,0.91,263,253
EQ-1002,2025-04-06,480,468,0.84,336,325
EQ-1002,2025-04-07,480,426,1.14,371,369
EQ-1002,2025-04-08,480,426,1.13,385,373
EQ-1002,2025-04-09,480,437,1.1,281,279
EQ-1002,2025-04-10,480,459,1.19,395,393
EQ-1002,2025-04-11,480,422,1.03,305,297
EQ-1002,2025-04-12,480,452,1.26,284,272
EQ-1002,2025-04-13,480,469,1.09,346,340
EQ-1002,2025-04-14,480,444,0.92,273,270
EQ-1002,2025-04-15,480,461,1.04,357,344
EQ-1002,2025-04-16,480,430,1.15,299,299
EQ-1002,2025-04-17,480,445,1.21,366,365
EQ-1002,2025-04-18,480,439,1.41,255,249
EQ-1002,2025-04-19,480,478,1.49,374,363
EQ-1002,2025-04-20,480,466,1.24,289,285
EQ-1002,2025-04-21,480,445,0.97,275,268
EQ-1002,2025-04-22,480,437,1.44,336,327
EQ-1002,2025-04-23,480,444,1.06,251,245
EQ-1002,2025-04-24,480,427,1.4,290,277
EQ-1002,2025-04-25,480,425,1.41,360,347
EQ-1002,2025-04-26,480,442,1.21,333,332
EQ-1002,2025-04-27,480,424,0.91,372,364
EQ-1002,2025-04-28,480,480,1.08,254,240
EQ-1002,2025-04-29,480,434,1.34,294,288
EQ-1002,2025-04-30,480,427,0.96,259,257
EQ-1002,2025-05-01,480,469,0.92,342,333
EQ-1002,2025-05-02,480,461,1.38,250,246
EQ-1002,2025-05-03,480,427,1.21,250,242
EQ-1002,2025-05-04,480,444,0.92,370,360
EQ-1002,2025-05-05,480,425,1.05,298,298
EQ-1002,2025-05-06,480,475,1.36,360,346
EQ-1002,2025-05-07,480,467,0.94,397,396
EQ-1002,2025-05-08,480,455,0.84,286,283
EQ-1002,2025-05-09,480,475,0.83,368,366
EQ-1002,2025-05-10,480,448,0.93,308,304
EQ-1002,2025-05-11,480,461,1.16,261,252
EQ-1002,2025-05-12,480,447,1.49,292,279
EQ-1002,2025-05-13,480,442,1.03,278,270
EQ-1002,2025-05-14,480,458,1.12,287,284
EQ-1002,2025-05-15,480,465,0.82,294,291
EQ-1002,2025-05-16,480,473,1.46,373,367
EQ-1002,2025-05-17,480,473,1.48,378,372
EQ-1002,2025-05-18,480,434,0.91,351,347
EQ-1002,2025-05-19,480,426,0.92,283,283
EQ-1002,2025-05-20,480,464,1.49,363,362
EQ-1002,2025-05-21,480,432,1.38,296,289
EQ-1002,2025-05-22,480,435,0.82,321,313
EQ-1002,2025-05-23,480,450,1.44,250,248
EQ-1002,2025-05-24,480,440,1.26,302,298
EQ-1002,2025-05-25,480,448,0.87,312,304
EQ-1002,2025-05-26,480,428,1.08,262,254
EQ-1002,2025-05-27,480,443,1.2,317,316
EQ-1002,2025-05-28,480,475,1.03,351,349
EQ-1002,2025-05-29,480,458,1.43,390,382
EQ-1002,2025-05-30,480,457,1.1,324,324
EQ-1002,2025-05-31,480,466,1.01,338,334
EQ-1002,2025-06-01,480,462,1.24,392,388
EQ-1002,2025-06-02,480,446,1.07,298,298
EQ-1002,2025-06-03,480,473,0.96,260,258
EQ-1002,2025-06-04,480,435,1.27,323,322
EQ-1002,2025-06-05,480,473,1.15,334,325
EQ-1002,2025-06-06,480,455,1.16,366,354
EQ-1002,2025-06-07,480,433,0.88,382,381
EQ-1002,2025-06-08,480,466,1.21,293,290
EQ-1002,2025-06-09,480,435,1.08,336,331
EQ-1002,2025-06-10,480,436,1.3,372,362
EQ-1002,2025-06-11,480,465,1.38,356,350
EQ-1002,2025-06-12,480,456,1.25,373,359
EQ-1002,2025-06-13,480,477,1.26,300,286
EQ-1002,2025-06-14,480,467,1.45,268,267
EQ-1002,2025-06-15,480,435,1.14,366,363
EQ-1002,2025-06-16,480,465,1.02,284,277
EQ-1002,2025-06-17,480,432,0.86,395,394
EQ-1002,2025-06-18,480,451,1.48,339,331
EQ-1002,2025-06-19,480,471,0.93,344,333
EQ-1002,2025-06-20,480,425,1.36,320,306
EQ-1002,2025-06-21,480,445,1.36,291,284
EQ-1002,2025-06-22,480,427,1.1,367,361
EQ-1002,2025-06-23,480,439,1.19,369,357
